churn_reason,Customer ID,Total Refunds,Total Charges,Total Revenue,Paperless Billing,Total Long Distance Charges,Total Extra Data Charges,Contract,Tenure in Months,Number of Referrals,Monthly Charge,Payment Method,Customer Status,Avg Monthly GB Download
5,0122-OAHPZ,13.03,511.25,698.56,Yes,200.34,0,Month-to-Month,7,0,73.85,Bank Withdrawal,Churned,26
,0123-CRBRT,0,5526.75,8405.34,No,2878.59,0,Two Year,61,1,88.1,Mailed Check,Stayed,28
18,0125-LZQXK,0,1553.95,2242.75,Yes,688.8,0,Month-to-Month,15,0,101.35,Bank Withdrawal,Churned,12
,0128-MKWSG,0,1147,1147,No,0,0,Month-to-Month,26,0,45.8,Credit Card,Stayed,19
,0129-KPTWJ,0,6747.35,9139.19,Yes,2391.84,0,Month-to-Month,72,9,94.65,Bank Withdrawal,Stayed,23
,0129-QMPDR,0,865.05,2070.65,Yes,1205.6,0,One Year,44,1,20.5,Bank Withdrawal,Stayed,
,0130-SXOUN,36.02,5976.9,9200.36,No,3219.48,40,Month-to-Month,66,0,89.4,Credit Card,Stayed,8
8,0133-BMFZO,0,181.65,255.27,Yes,73.62,0,Month-to-Month,2,0,86.25,Bank Withdrawal,Churned,16
,0134-XWXCE,17.91,3268.05,3589.82,No,339.68,0,One Year,44,0,74.85,Bank Withdrawal,Stayed,17
12,0135-NMXAP,0,1052.4,1224.96,Yes,172.56,0,Month-to-Month,12,0,89.75,Bank Withdrawal,Churned,6
,0136-IFMYD,0,7634.25,8904.54,Yes,1270.29,0,Two Year,69,1,109.95,Bank Withdrawal,Stayed,17
15,0137-OCGAB,0,80.2,81.43,Yes,1.23,0,Month-to-Month,1,0,80.2,Mailed Check,Churned,69
14,0137-UDEUO,0,63.75,141,No,77.25,0,Month-to-Month,3,0,19.85,Credit Card,Churned,
,0139-IVFJG,0,190.5,199.8,No,9.3,0,Month-to-Month,2,10,90.35,Bank Withdrawal,Joined,53
,0141-YEAYS,0,2401.05,2481.24,Yes,80.19,0,Two Year,27,0,86.45,Bank Withdrawal,Stayed,4
,0142-GVYSN,0,511.25,858.09,Yes,346.84,0,Month-to-Month,26,0,20.3,Bank Withdrawal,Stayed,
,0147-ESWWR,0,3949.15,4735,Yes,785.85,0,Month-to-Month,39,9,101.25,Bank Withdrawal,Stayed,21
2,0148-DCDOS,0,2362.1,3234.1,Yes,872,0,Month-to-Month,25,0,94.7,Bank Withdrawal,Churned,8
2,0151-ONTOV,0,70.9,110.71,No,39.81,0,Month-to-Month,1,0,70.9,Mailed Check,Churned,23
18,0156-FVPTA,0,1152.7,1751.98,Yes,599.28,0,Month-to-Month,22,1,54.2,Bank Withdrawal,Churned,21
,0164-APGRB,0,8496.7,11979.34,Yes,3482.64,0,Two Year,72,0,114.9,Bank Withdrawal,Stayed,5
,0164-XAIRP,0,470.2,725.56,Yes,255.36,0,Two Year,24,0,19.55,Bank Withdrawal,Stayed,
,0168-XZKBB,0,1564.4,1713.36,Yes,148.96,0,Month-to-Month,19,8,86.85,Bank Withdrawal,Stayed,16
,0174-QRVVY,0,1847.55,2500.75,No,653.2,0,Two Year,71,2,25.35,Credit Card,Stayed,
,0177-PXBAT,0,3694.7,4524.65,Yes,829.95,0,One Year,33,7,109.9,Bank Withdrawal,Stayed,20
,0178-CIIKR,0,58,66.07,No,8.07,0,Month-to-Month,3,0,19.95,Credit Card,Joined,
,0178-SZBHO,0,4017.45,4068.68,No,51.23,0,Month-to-Month,47,7,87.2,Bank Withdrawal,Stayed,13
,0181-RITDD,0,6825.65,6934.77,No,109.12,0,Two Year,62,2,108.15,Credit Card,Stayed,20
,0186-CAERR,0,8309.55,8514.03,Yes,204.48,0,One Year,71,0,116.3,Bank Withdrawal,Stayed,48
,0187-QSXOE,0,605.45,899.24,Yes,293.79,0,Two Year,7,8,89,Bank Withdrawal,Stayed,11
,0187-WZNAB,0,1972.35,3232.17,No,1259.82,0,Month-to-Month,27,6,74.4,Credit Card,Stayed,28
,0188-GWFLE,0,33.7,37.32,No,3.62,0,Month-to-Month,2,0,20.05,Credit Card,Joined,
,0191-EQUUH,0,844.45,844.45,No,0,0,Two Year,25,0,35.05,Bank Withdrawal,Stayed,75
,0191-ZHSKZ,0,2111.3,3269.6,Yes,1158.3,0,One Year,30,0,74.75,Bank Withdrawal,Stayed,5
12,0193-ESZXP,0,6205.5,7188.02,Yes,982.52,0,One Year,58,1,105.5,Credit Card,Churned,19
11,0195-IESCP,0,855.3,975.5,Yes,20.2,100,Month-to-Month,10,1,85.25,Bank Withdrawal,Churned,82
,0196-JTUQI,0,633.85,717.28,Yes,83.43,0,Month-to-Month,9,0,75.2,Credit Card,Stayed,28
19,0196-VULGZ,0,474.9,647.16,Yes,172.26,0,Month-to-Month,6,1,84.35,Bank Withdrawal,Churned,17
,0197-PNKNK,0,5848.6,8574.08,No,2685.48,40,One Year,69,7,84.45,Bank Withdrawal,Stayed,16
,0201-MIBOL,0,6471.85,7161.55,Yes,689.7,0,Two Year,66,0,102.4,Bank Withdrawal,Stayed,20
10,0201-OAMXR,0,8127.6,8842.3,No,714.7,0,One Year,70,0,115.55,Credit Card,Churned,52
14,0203-HHYIJ,0,676.35,815.6,No,139.25,0,One Year,25,0,25.3,Bank Withdrawal,Churned,
,0206-OYVOC,0,864.2,1983.38,Yes,1119.18,0,Two Year,46,1,19.25,Credit Card,Stayed,
,0206-TBWLC,0,6049.5,6665.1,Yes,615.6,0,One Year,54,7,114.65,Credit Card,Stayed,26
5,0207-MDKNV,0,1582.75,1918.6,No,335.85,0,Month-to-Month,15,0,105.1,Bank Withdrawal,Churned,7
,0208-BPQEJ,0,198.1,297.1,No,99,0,Month-to-Month,12,0,19.4,Bank Withdrawal,Stayed,
,0212-ISBBF,0,1098.85,1098.85,Yes,0,0,Month-to-Month,22,0,50.35,Bank Withdrawal,Stayed,22
,0214-JHPFW,1.01,4039.3,4038.29,No,0,0,Two Year,70,9,57.8,Bank Withdrawal,Stayed,85
,0215-BQKGS,0,2438.6,3310.5,Yes,741.9,130,Month-to-Month,30,0,84.3,Credit Card,Stayed,20
,0218-QNVAS,16.99,7113.75,9108.9,No,2012.14,0,One Year,71,1,100.55,Bank Withdrawal,Stayed,59
,0219-QAERP,0,576.65,870.95,No,294.3,0,One Year,30,2,19.8,Credit Card,Stayed,
5,0219-YTZUE,0,371.9,486.98,Yes,115.08,0,Month-to-Month,4,5,84.8,Bank Withdrawal,Churned,19
5,0220-EBGCE,0,167.3,195.58,Yes,28.28,0,Month-to-Month,2,0,85.85,Bank Withdrawal,Churned,28
,0221-NAUXK,0,219.5,298.1,Yes,78.6,0,One Year,10,0,19.95,Bank Withdrawal,Stayed,
,0221-WMXNQ,0,273.4,419,No,145.6,0,One Year,4,0,75.35,Bank Withdrawal,Stayed,29
,0222-CNVPT,0,2555.05,2555.05,Yes,0,0,Two Year,52,0,48.8,Credit Card,Stayed,19
5,0224-HJAPT,0,223.15,333.2,No,110.05,0,Month-to-Month,5,0,47.15,Bank Withdrawal,Churned,85
,0224-NIJLP,0,165.5,188.46,No,22.96,0,Two Year,8,1,20.15,Credit Card,Stayed,
,0224-RLWWD,0,89.3,137.12,Yes,47.82,0,One Year,2,0,44.3,Bank Withdrawal,Joined,22
,0225-ZORZP,0,235.05,276.21,No,41.16,0,Month-to-Month,3,0,84.3,Bank Withdrawal,Joined,26
,0228-MAUWC,0,1144.6,1369.75,No,225.15,0,Month-to-Month,19,0,59.55,Bank Withdrawal,Stayed,18
,0229-LFJAF,0,4908.25,5171.77,No,263.52,0,Two Year,72,0,69.65,Bank Withdrawal,Stayed,13
,0230-UBYPQ,0,2298.9,2298.9,No,0,0,One Year,63,2,36.1,Bank Withdrawal,Stayed,7
,0230-WEQUW,0,3789.2,3789.2,Yes,0,0,Two Year,66,1,56.6,Bank Withdrawal,Stayed,29
5,0231-LXVAP,0,75.9,120.46,Yes,44.56,0,Month-to-Month,1,0,75.9,Bank Withdrawal,Churned,27
,0233-FTHAV,0,4765,5682.4,Yes,917.4,0,One Year,60,0,79.2,Bank Withdrawal,Stayed,48
,0234-TEVTT,0,2196.3,2196.3,No,0,0,One Year,48,3,45,Credit Card,Stayed,22
16,0235-KGSLC,0,85.55,118.89,Yes,33.34,0,Month-to-Month,1,0,85.55,Credit Card,Churned,4
2,0236-HFWSV,0,1444.65,2178.6,Yes,733.95,0,Month-to-Month,15,0,93.35,Bank Withdrawal,Churned,15
,0237-YFUTL,0,5405.8,7134.3,Yes,1728.5,0,Month-to-Month,50,4,109.65,Bank Withdrawal,Stayed,13
,0238-WHBIQ,0,6339.3,8769.3,No,2430,0,Two Year,72,10,89.7,Credit Card,Stayed,30
,0239-OXEXL,0,3847.6,5938.02,No,1990.42,100,Month-to-Month,46,0,84.25,Credit Card,Stayed,21
,0244-LGNFY,0,6733,8893,No,2160,0,Two Year,72,4,92.65,Bank Withdrawal,Stayed,19
,0247-SLUJI,0,19.7,53.98,No,34.28,0,Month-to-Month,1,2,19.7,Credit Card,Joined,
,0248-IPDFW,0,50.1,79.23,Yes,29.13,0,Month-to-Month,1,0,50.1,Bank Withdrawal,Joined,51
,0248-PGHBZ,0,6140.85,6313.04,Yes,172.19,0,Two Year,67,0,92.45,Bank Withdrawal,Stayed,21
,0253-ZTEOB,0,3870.3,4299.42,No,429.12,0,Two Year,48,5,79.65,Bank Withdrawal,Stayed,27
,0254-FNMCI,0,7624.2,10641.72,Yes,3017.52,0,Two Year,72,0,109.9,Bank Withdrawal,Stayed,73
,0254-KCJGT,0,4354.45,6504.13,Yes,2149.68,0,One Year,52,6,81.4,Credit Card,Stayed,24
,0254-WWRKD,0,3431.75,6574.05,No,3142.3,0,One Year,67,1,50.55,Credit Card,Stayed,28
2,0256-LTHVJ,0,2227.1,2698.9,Yes,471.8,0,Month-to-Month,28,1,81.05,Bank Withdrawal,Churned,13
,0257-KXZGU,0,2045.55,3110.51,No,1064.96,0,Month-to-Month,32,9,62.45,Bank Withdrawal,Stayed,51
12,0257-ZESQC,0,1929.35,2118.89,Yes,189.54,0,Month-to-Month,27,2,75.2,Bank Withdrawal,Churned,25
,0258-NOKBL,0,268.45,362.89,No,94.44,0,Month-to-Month,3,0,90.4,Bank Withdrawal,Joined,73
5,0259-GBZSH,0,181.5,262.36,Yes,80.86,0,Month-to-Month,2,0,85.65,Bank Withdrawal,Churned,27
5,0260-ZDLGK,0,651.4,970.81,Yes,319.41,0,Month-to-Month,9,0,72.9,Credit Card,Churned,11
,0263-FJTQO,0,3486.65,5711.15,Yes,2224.5,0,Two Year,50,10,70.5,Credit Card,Stayed,28
,0264-CNITK,0,1389.6,3592.73,No,2203.13,0,Two Year,71,1,20.1,Bank Withdrawal,Stayed,
12,0265-EDXBD,0,2303.35,3818.23,Yes,1514.88,0,Month-to-Month,32,2,74.9,Bank Withdrawal,Churned,10
,0265-PSUAE,0,1522.7,1959.02,No,436.32,0,Month-to-Month,16,10,100.7,Bank Withdrawal,Stayed,76
,0266-CLZKZ,0,6717.9,7909.83,Yes,1191.93,0,Two Year,67,8,105.65,Bank Withdrawal,Stayed,22
,0266-GMEAO,0,8058.55,9206.23,Yes,1147.68,0,Two Year,72,1,114.3,Credit Card,Stayed,13
12,0268-QKIWO,0,58.85,132.74,No,73.89,0,Month-to-Month,3,0,19.75,Bank Withdrawal,Churned,
,0269-XFESX,0,538.5,1642.96,No,1104.46,0,One Year,23,1,24.35,Credit Card,Stayed,
,0270-THENM,25.24,5102.35,7119.75,No,2042.64,0,Two Year,72,1,69.85,Bank Withdrawal,Stayed,18
,0274-JKUJR,0,465.7,465.7,No,0,0,Month-to-Month,7,9,-3,Credit Card,Stayed,47
,0277-BKSQP,0,475.1,487.58,Yes,12.48,0,Month-to-Month,8,10,54.4,Bank Withdrawal,Stayed,57
,0277-ORXQS,0,3364.55,3474.55,No,0,110,Two Year,66,9,50.55,Bank Withdrawal,Stayed,23
12,0278-YXOOG,0,113.85,285.15,No,171.3,0,Month-to-Month,5,0,21.05,Credit Card,Churned,
2,0280-XJGEX,0,5036.3,7208.47,Yes,2172.17,0,Month-to-Month,49,0,103.7,Bank Withdrawal,Churned,11
,0281-CNTZX,0,1234.8,3651.48,Yes,2416.68,0,Two Year,63,2,19.95,Bank Withdrawal,Stayed,
,0282-NVSJS,0,355.9,355.9,Yes,0,0,Month-to-Month,12,1,29.3,Mailed Check,Stayed,14
,0285-INHLN,0,1510.3,2487.43,Yes,977.13,0,Month-to-Month,27,5,54.75,Credit Card,Stayed,53
,0289-IVARM,0,1982.6,3550.95,No,1568.35,0,Month-to-Month,35,0,60.55,Bank Withdrawal,Stayed,20
,0292-WEGCH,0,4524.05,4757.87,Yes,233.82,0,Month-to-Month,54,7,86.2,Bank Withdrawal,Stayed,12
2,0295-PPHDO,0,95.45,101.04,Yes,5.59,0,Month-to-Month,1,0,95.45,Bank Withdrawal,Churned,2
,0295-QVKPB,0,318.1,387.9,Yes,69.8,0,Month-to-Month,5,0,63.95,Credit Card,Stayed,5
,0297-RBCSG,0,1231.85,2085.86,Yes,794.01,60,One Year,19,0,65.35,Bank Withdrawal,Stayed,6
,0298-XACET,27.01,2554,2526.99,No,0,0,Two Year,52,1,50.2,Credit Card,Stayed,17
,0301-FIDRB,0,4684.3,4684.3,Yes,0,0,Two Year,72,8,63.8,Bank Withdrawal,Stayed,22
,0301-KOBTQ,9.73,614.45,1081.84,Yes,477.12,0,Two Year,32,0,20.05,Bank Withdrawal,Stayed,
5,0302-JOIVN,0,842.9,977.94,No,135.04,0,Month-to-Month,8,1,101.15,Bank Withdrawal,Churned,6
,0303-UNCIP,0,2531.8,4211.35,No,1539.55,140,One Year,41,0,65,Mailed Check,Stayed,30
,0303-WMMRN,0,86.05,191.1,Yes,105.05,0,Month-to-Month,5,0,19.25,Credit Card,Stayed,
,0305-SQECB,0,402.6,502.6,Yes,0,100,One Year,11,0,36.05,Credit Card,Stayed,17
5,0306-JAELE,0,453.4,608.85,Yes,155.45,0,Month-to-Month,5,0,96.1,Bank Withdrawal,Churned,11
,0307-BCOPK,0,326.65,990.81,No,664.16,0,One Year,16,0,19.05,Credit Card,Stayed,
,0308-GIQJT,0,7382.85,7815.95,No,433.1,0,One Year,71,0,105.75,Bank Withdrawal,Stayed,9
,0308-IVGOK,0,422.6,422.6,Yes,0,0,One Year,11,0,40.4,Credit Card,Stayed,59
3,0310-MVLET,0,6010.05,9019.18,Yes,3009.13,0,Month-to-Month,61,1,99.15,Bank Withdrawal,Churned,7
,0310-SUCIN,0,6046.1,7683.36,Yes,1637.26,0,One Year,71,2,84.8,Bank Withdrawal,Stayed,6
,0310-VQXAM,0,178.8,545.46,No,366.66,0,Month-to-Month,9,0,19.85,Credit Card,Stayed,
,0311-QYWSS,0,314.6,549.56,Yes,234.96,0,Month-to-Month,6,0,49.45,Bank Withdrawal,Stayed,8
3,0311-UNPFF,0,2274.35,3314.69,Yes,990.34,50,Month-to-Month,26,0,88.8,Bank Withdrawal,Churned,22
,0314-TKOSI,0,322.9,364.78,No,41.88,0,Month-to-Month,6,0,55.15,Mailed Check,Stayed,30
,0315-LVCRK,0,888.75,1225.02,No,336.27,0,Month-to-Month,11,0,84.8,Bank Withdrawal,Stayed,15
2,0318-QUUOB,0,80.55,124.22,Yes,43.67,0,Month-to-Month,1,1,80.55,Bank Withdrawal,Churned,73
,0318-ZOPWS,0,973.35,1111.53,Yes,138.18,0,Two Year,49,10,20.15,Bank Withdrawal,Stayed,
,0319-QZTCO,0,168.6,203.01,Yes,34.41,0,Month-to-Month,3,9,58.7,Credit Card,Joined,51
,0320-DWVTU,0,5424.25,7733.46,No,2309.21,0,Two Year,53,0,99.5,Credit Card,Stayed,13
9,0320-JDNQG,0,2331.3,3204.15,Yes,872.85,0,Month-to-Month,23,1,99.85,Bank Withdrawal,Churned,27
2,0322-CHQRU,0,89.5,140.48,No,50.98,0,Month-to-Month,2,0,45.35,Bank Withdrawal,Churned,9
12,0322-YINQP,0,48.55,59.9,Yes,11.35,0,Month-to-Month,1,0,48.55,Credit Card,Churned,9
,0323-XWWTN,0,121.25,222.86,Yes,101.61,0,Two Year,3,0,26.4,Credit Card,Joined,
11,0324-BRPCJ,0,6851.65,8302.09,Yes,1450.44,0,Month-to-Month,68,1,100.2,Bank Withdrawal,Churned,24
11,0325-XBFAC,0,740.3,976.22,Yes,155.92,80,Month-to-Month,8,0,94.7,Bank Withdrawal,Churned,10
,0326-VDYXE,0,6982.5,8228.7,Yes,1166.2,80,One Year,70,9,97.65,Bank Withdrawal,Stayed,26
,0327-WFZSY,0,3835.55,4509.86,No,674.31,0,One Year,39,9,100,Bank Withdrawal,Stayed,75
2,0328-GRPMV,0,70.1,87.47,Yes,17.37,0,Month-to-Month,1,0,70.1,Bank Withdrawal,Churned,25
6,0329-GTIAJ,0,315.3,405.84,Yes,90.54,0,Month-to-Month,3,0,97.9,Bank Withdrawal,Churned,7
,0330-BGYZE,0,6157.6,7310.8,No,1153.2,0,One Year,60,8,102.5,Bank Withdrawal,Stayed,4
18,0330-IVZHA,0,330.15,415.55,No,85.4,0,Month-to-Month,5,1,69.95,Bank Withdrawal,Churned,10
5,0334-GDDSO,0,233.7,261.36,Yes,27.66,0,Month-to-Month,3,0,81.35,Bank Withdrawal,Churned,14
,0334-ZFJSR,44.53,3462.1,5513.47,Yes,1945.9,150,One Year,55,0,66.05,Credit Card,Stayed,13
,0336-KXKFK,0,4390.25,4390.25,Yes,0,0,Two Year,72,0,61.2,Credit Card,Stayed,6
,0336-PIKEI,0,5360.75,5880.19,No,379.44,140,Two Year,72,7,74.4,Bank Withdrawal,Stayed,9
6,0337-CNPZE,0,4443.45,5001.08,Yes,427.63,130,Month-to-Month,41,0,106.3,Bank Withdrawal,Churned,22
,0343-QLUZP,38.46,2424.5,2386.04,No,0,0,Two Year,60,0,39.6,Bank Withdrawal,Stayed,25
9,0345-HKJVM,0,577.6,593.2,No,15.6,0,Month-to-Month,6,0,89.3,Bank Withdrawal,Churned,22
,0345-XMMUG,0,4854.3,4946.3,Yes,92,0,Two Year,46,6,108.9,Credit Card,Stayed,48
,0347-UBKUZ,0,320.45,361.55,No,41.1,0,Month-to-Month,15,0,19.9,Mailed Check,Stayed,
5,0348-SDKOL,0,5885.4,6188.98,Yes,203.58,100,Month-to-Month,58,1,102.1,Credit Card,Churned,28
,0354-VXMJC,0,426.65,1209.57,No,782.92,0,Two Year,23,10,19.6,Credit Card,Stayed,
9,0354-WYROK,0,2911.3,4397.75,Yes,1486.45,0,Month-to-Month,31,1,98.9,Bank Withdrawal,Churned,21
