Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Unlimited Data,Phone Service,Streaming TV,Streaming Movies,Streaming Music,Premium Tech Support,Offer,Customer ID
Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,None,0106-GHRQR
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer A,0106-UGRDO
No,No,,,,,,Yes,,,,,Offer E,0107-WESLM
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,None,0107-YHINA
No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Offer C,0111-KLBQG
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,No,No,No,Offer D,0112-QAWRZ
Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer B,0112-QWPNC
,Yes,Cable,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Offer A,0114-IGABW
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,None,0114-PEGZZ
No,No,,,,,,Yes,,,,,Offer D,0114-RSRRW
Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,None,0115-TFERT
,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,No,No,None,0117-LFRMW
No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,No,No,No,None,0118-JPNOY
,Yes,DSL,Yes,No,No,Yes,No,No,No,No,Yes,Offer B,0121-SNYRK
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,Yes,No,None,0122-OAHPZ
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer B,0123-CRBRT
No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer D,0125-LZQXK
,Yes,DSL,Yes,No,No,Yes,No,No,Yes,Yes,Yes,None,0128-MKWSG
No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,None,0129-KPTWJ
No,No,,,,,,Yes,,,,,None,0129-QMPDR
Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Yes,Yes,No,Offer A,0130-SXOUN
No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,No,Yes,None,0133-BMFZO
No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,0134-XWXCE
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,No,No,No,Offer D,0135-NMXAP
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,None,0136-IFMYD
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,No,No,No,Offer E,0137-OCGAB
No,No,,,,,,Yes,,,,,Offer E,0137-UDEUO
No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,No,No,No,None,0139-IVFJG
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,No,No,No,None,0141-YEAYS
No,No,,,,,,Yes,,,,,Offer C,0142-GVYSN
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,None,0147-ESWWR
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,No,None,0148-DCDOS
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,Offer E,0151-ONTOV
No,Yes,DSL,Yes,No,No,Yes,Yes,No,No,No,Yes,Offer D,0156-FVPTA
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer A,0164-APGRB
No,No,,,,,,Yes,,,,,None,0164-XAIRP
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,No,No,No,None,0168-XZKBB
Yes,No,,,,,,Yes,,,,,None,0174-QRVVY
Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,None,0177-PXBAT
No,No,,,,,,Yes,,,,,None,0178-CIIKR
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,No,No,No,None,0178-SZBHO
No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,0181-RITDD
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,0186-CAERR
No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,No,None,0187-QSXOE
No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,Offer C,0187-WZNAB
No,No,,,,,,Yes,,,,,None,0188-GWFLE
,Yes,Cable,Yes,No,No,Yes,No,No,No,No,Yes,Offer C,0191-EQUUH
No,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,None,0191-ZHSKZ
No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,None,0193-ESZXP
Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,Yes,Yes,No,Offer D,0195-IESCP
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,None,0196-JTUQI
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Yes,No,No,None,0196-VULGZ
Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,No,None,0197-PNKNK
Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,None,0201-MIBOL
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer A,0201-OAMXR
Yes,No,,,,,,Yes,,,,,Offer C,0203-HHYIJ
No,No,,,,,,Yes,,,,,Offer B,0206-OYVOC
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer B,0206-TBWLC
No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,0207-MDKNV
No,No,,,,,,Yes,,,,,Offer D,0208-BPQEJ
,Yes,Cable,No,Yes,No,Yes,No,Yes,Yes,Yes,No,None,0212-ISBBF
,Yes,Cable,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,None,0214-JHPFW
No,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No,No,Offer C,0215-BQKGS
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Offer A,0218-QNVAS
No,No,,,,,,Yes,,,,,None,0219-QAERP
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Offer E,0219-YTZUE
No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Offer E,0220-EBGCE
No,No,,,,,,Yes,,,,,None,0221-NAUXK
No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,Offer E,0221-WMXNQ
,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Offer B,0222-CNVPT
Yes,Yes,Cable,No,No,No,Yes,Yes,No,No,Yes,No,None,0224-HJAPT
No,No,,,,,,Yes,,,,,Offer E,0224-NIJLP
No,Yes,Cable,No,No,No,Yes,Yes,No,No,No,No,Offer E,0224-RLWWD
No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Offer E,0225-ZORZP
Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,No,No,Yes,Offer D,0228-MAUWC
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Offer A,0229-LFJAF
,Yes,DSL,Yes,No,No,Yes,No,No,No,No,Yes,Offer B,0230-UBYPQ
,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,None,0230-WEQUW
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,Yes,None,0231-LXVAP
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,No,No,No,None,0233-FTHAV
,Yes,DSL,Yes,No,Yes,Yes,No,No,Yes,Yes,No,None,0234-TEVTT
No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,No,No,No,Offer E,0235-KGSLC
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,No,None,0236-HFWSV
Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Offer B,0237-YFUTL
Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer A,0238-WHBIQ
Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,No,No,None,0239-OXEXL
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,0244-LGNFY
No,No,,,,,,Yes,,,,,None,0247-SLUJI
Yes,Yes,Cable,No,No,No,Yes,Yes,No,No,No,No,None,0248-IPDFW
No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Offer A,0248-PGHBZ
Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,None,0253-ZTEOB
No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,0254-FNMCI
Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Offer B,0254-KCJGT
No,Yes,Cable,No,Yes,No,Yes,Yes,No,No,No,No,Offer A,0254-WWRKD
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Yes,Yes,No,Offer C,0256-LTHVJ
Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Offer C,0257-KXZGU
No,Yes,Cable,Yes,No,No,Yes,Yes,No,No,No,No,None,0257-ZESQC
No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,None,0258-NOKBL
Yes,Yes,Cable,No,No,No,Yes,Yes,Yes,No,Yes,No,Offer E,0259-GBZSH
No,Yes,Cable,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,0260-ZDLGK
Yes,Yes,Cable,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Offer B,0263-FJTQO
No,No,,,,,,Yes,,,,,None,0264-CNITK
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,Offer C,0265-EDXBD
No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Offer D,0265-PSUAE
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer A,0266-CLZKZ
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,0266-GMEAO
No,No,,,,,,Yes,,,,,Offer E,0268-QKIWO
Yes,No,,,,,,Yes,,,,,None,0269-XFESX
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,None,0270-THENM
,Yes,Cable,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Offer E,0274-JKUJR
No,Yes,DSL,No,No,No,Yes,Yes,Yes,No,No,No,Offer E,0277-BKSQP
,Yes,Cable,No,No,No,No,No,Yes,Yes,Yes,Yes,Offer A,0277-ORXQS
No,No,,,,,,Yes,,,,,Offer E,0278-YXOOG
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,None,0280-XJGEX
No,No,,,,,,Yes,,,,,Offer B,0281-CNTZX
,Yes,DSL,No,No,No,Yes,No,No,No,No,Yes,Offer D,0282-NVSJS
No,Yes,DSL,Yes,Yes,No,Yes,Yes,No,No,No,No,None,0285-INHLN
No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,No,None,0289-IVARM
Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer B,0292-WEGCH
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,No,None,0295-PPHDO
No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Offer E,0295-QVKPB
No,Yes,DSL,No,Yes,No,No,Yes,No,Yes,Yes,Yes,None,0297-RBCSG
,Yes,DSL,No,Yes,Yes,Yes,No,Yes,No,No,Yes,None,0298-XACET
,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,None,0301-FIDRB
No,No,,,,,,Yes,,,,,None,0301-KOBTQ
No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,None,0302-JOIVN
Yes,Yes,DSL,No,No,Yes,No,Yes,No,Yes,Yes,No,Offer B,0303-UNCIP
No,No,,,,,,Yes,,,,,None,0303-WMMRN
,Yes,DSL,Yes,No,No,No,No,No,No,No,Yes,None,0305-SQECB
No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,None,0306-JAELE
No,No,,,,,,Yes,,,,,Offer D,0307-BCOPK
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,None,0308-GIQJT
,Yes,DSL,No,Yes,Yes,Yes,No,No,No,No,Yes,None,0308-IVGOK
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,None,0310-MVLET
No,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,0310-SUCIN
No,No,,,,,,Yes,,,,,None,0310-VQXAM
No,Yes,DSL,Yes,No,No,Yes,Yes,No,No,No,No,None,0311-QYWSS
No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,No,None,0311-UNPFF
No,Yes,Cable,Yes,Yes,No,No,Yes,No,No,No,No,Offer E,0314-TKOSI
No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,Yes,Yes,No,None,0315-LVCRK
No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,No,None,0318-QUUOB
No,No,,,,,,Yes,,,,,None,0318-ZOPWS
No,Yes,DSL,No,Yes,No,Yes,Yes,Yes,No,No,No,Offer E,0319-QZTCO
No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Offer B,0320-DWVTU
No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,None,0320-JDNQG
No,Yes,DSL,No,No,No,Yes,Yes,No,No,No,No,None,0322-CHQRU
No,Yes,DSL,Yes,No,No,Yes,Yes,No,No,No,No,None,0322-YINQP
Yes,No,,,,,,Yes,,,,,None,0323-XWWTN
Yes,Yes,Cable,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,None,0324-BRPCJ
No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,No,None,0325-XBFAC
Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Offer A,0326-VDYXE
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Offer C,0327-WFZSY
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,None,0328-GRPMV
No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,None,0329-GTIAJ
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Offer B,0330-BGYZE
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,Offer E,0330-IVZHA
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,No,No,No,Offer E,0334-GDDSO
Yes,Yes,Cable,Yes,Yes,No,No,Yes,No,No,No,Yes,None,0334-ZFJSR
,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,None,0336-KXKFK
No,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Offer A,0336-PIKEI
Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,None,0337-CNPZE
,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,No,No,Offer B,0343-QLUZP
No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,No,None,0345-HKJVM
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,0345-XMMUG
No,No,,,,,,Yes,,,,,None,0347-UBKUZ
Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,None,0348-SDKOL
No,No,,,,,,Yes,,,,,None,0354-VXMJC
No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Offer C,0354-WYROK
No,Yes,Cable,No,No,No,Yes,Yes,No,No,No,No,Offer D,0356-ERHVT
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,None,0356-OBMAC
No,No,,,,,,Yes,,,,,Offer C,0357-NVCRI
,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Offer A,0361-HJRDX
No,No,,,,,,Yes,,,,,None,0362-RAOQO
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Yes,Yes,No,None,0362-ZBZWJ
Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Offer C,0363-QJVFX
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer A,0363-SVHYR
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Offer D,0365-BZUWY
No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,No,No,Yes,Offer D,0365-GXEZS
Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No,No,None,0365-TRTPY
No,No,,,,,,Yes,,,,,None,0366-NQSHS
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,Offer C,0369-ZGOVK
,Yes,Cable,Yes,Yes,Yes,Yes,No,No,No,No,No,Offer E,0373-AIVNJ
No,Yes,DSL,Yes,No,No,No,Yes,No,No,No,No,Offer E,0374-AACSZ
No,No,,,,,,Yes,,,,,None,0374-FIUCA
No,Yes,Cable,No,No,No,Yes,Yes,No,No,No,No,None,0374-IOEGQ
,Yes,DSL,No,No,No,Yes,No,Yes,No,No,No,Offer E,0375-HVGXO
No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Offer C,0376-OIWME
Yes,Yes,Cable,No,No,No,Yes,Yes,Yes,No,Yes,Yes,None,0376-YMCJC
No,Yes,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Offer D,0377-JBKKT
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,0378-CJKPV
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,No,No,No,None,0378-NHQXU
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Yes,Yes,Yes,None,0378-TOVMS
No,Yes,Cable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Offer B,0378-XSZPU
No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,None,0379-DJQHR
No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,None,0380-NEAVX
No,No,,,,,,Yes,,,,,None,0380-ZCSBI
Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer A,0383-CLDDA
,Yes,Cable,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,None,0384-LPITE
No,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Offer D,0384-RVBPI
No,No,,,,,,Yes,,,,,None,0386-CWRGM
No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,None,0388-EOPEX
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,Offer E,0390-DCFDQ
Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,None,0392-BZIUW
Yes,No,,,,,,Yes,,,,,None,0394-YONDK
No,No,,,,,,Yes,,,,,None,0396-HUJBP
No,Yes,DSL,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Offer D,0396-UKGAI
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Offer C,0396-YCHWO
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No,No,None,0397-GZBBC
No,No,,,,,,Yes,,,,,Offer A,0397-ZXWQF
Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,None,0401-WDBXM
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,None,0402-CQAJN
Yes,No,,,,,,Yes,,,,,Offer A,0402-OAMEN
No,No,,,,,,Yes,,,,,Offer A,0404-AHASP
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,Yes,No,Offer E,0404-SWRVG
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Offer B,0406-BPDVR
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,No,No,None,0407-BDJKB
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Offer B,0409-WTMPL
No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Offer C,0410-IPFTY
Yes,Yes,DSL,No,No,No,No,Yes,Yes,No,No,No,None,0411-EZJZE
