Customer ID,Age,Gender,Number of Dependents,Married,Zip Code
0337-CNPZE,63,Female,0,No,90033
0343-QLUZP,38,Male,0,No,95111
0345-HKJVM,43,Female,0,No,92109
0345-XMMUG,29,Female,0,Yes,95640
0347-UBKUZ,46,Female,0,No,94404
0348-SDKOL,33,Female,0,Yes,92117
0354-VXMJC,60,Male,3,Yes,90034
0354-WYROK,70,Female,0,Yes,94130
0356-ERHVT,54,Male,0,Yes,95062
0356-OBMAC,80,Female,0,No,92596
0357-NVCRI,41,Female,3,No,92021
0361-HJRDX,38,Female,0,No,91403
0362-RAOQO,48,Female,0,No,92860
0362-ZBZWJ,46,Male,0,No,95686
0363-QJVFX,22,Male,0,No,93532
0363-SVHYR,28,Male,3,Yes,90723
0365-BZUWY,58,Male,0,Yes,92675
0365-GXEZS,55,Male,0,Yes,95228
0365-TRTPY,52,Female,0,No,91724
0366-NQSHS,42,Male,0,No,95932
0369-ZGOVK,56,Female,2,Yes,90630
0373-AIVNJ,34,Male,0,No,95814
0374-AACSZ,63,Female,0,No,93534
0374-FIUCA,59,Male,0,Yes,92867
0374-IOEGQ,62,Female,0,No,93926
0375-HVGXO,31,Female,0,No,90045
0376-OIWME,24,Male,0,Yes,92173
0376-YMCJC,21,Male,0,No,94949
0377-JBKKT,21,Male,3,Yes,95020
0378-CJKPV,56,Female,0,Yes,91377
0378-NHQXU,31,Female,0,Yes,94080
0378-TOVMS,20,Female,0,No,95385
0378-XSZPU,31,Male,0,Yes,95117
0379-DJQHR,60,Male,0,Yes,94089
0380-NEAVX,72,Male,0,No,92660
0380-ZCSBI,56,Male,0,No,94133
0383-CLDDA,42,Female,0,No,94305
0384-LPITE,38,Male,0,No,90041
0384-RVBPI,64,Male,0,No,95380
0386-CWRGM,61,Female,1,Yes,90210
0388-EOPEX,28,Female,0,Yes,92503
0390-DCFDQ,76,Female,2,Yes,90720
0392-BZIUW,44,Female,0,Yes,93710
0394-YONDK,28,Male,3,Yes,92025
0396-HUJBP,34,Female,0,No,90247
0396-UKGAI,25,Male,3,No,92024
0396-YCHWO,58,Male,0,Yes,95829
0397-GZBBC,70,Male,0,Yes,93665
0397-ZXWQF,24,Male,0,No,95555
0401-WDBXM,22,Male,3,Yes,95118
0402-CQAJN,22,Female,0,No,91732
0402-OAMEN,36,Female,1,Yes,93962
0404-AHASP,23,Male,0,Yes,90212
0404-SWRVG,21,Male,2,No,90631
0406-BPDVR,75,Female,0,Yes,93277
0407-BDJKB,59,Male,0,Yes,94114
0409-WTMPL,35,Female,0,Yes,90602
0410-IPFTY,64,Female,0,Yes,90822
0411-EZJZE,62,Female,0,No,95215
0412-UCCNP,20,Male,0,No,92332
0415-MOSGF,58,Female,0,No,95030
0419-YAAPX,44,Male,0,Yes,95949
0420-BWTPW,40,Male,0,No,92117
0420-HLGXF,72,Female,0,No,93291
0420-TXVSG,43,Male,0,Yes,95112
0422-OHQHQ,23,Female,0,Yes,93722
0422-UXFAP,34,Female,0,Yes,92117
0423-UDIJQ,74,Male,0,No,95369
0426-TIRNE,54,Female,0,No,91316
0428-AXXLJ,29,Male,0,No,90706
0428-IKYCP,56,Male,0,Yes,95370
0430-IHCDJ,40,Male,0,No,92346
0431-APWVY,37,Female,0,Yes,94949
0432-CAJZV,47,Male,0,No,92592
0434-CSFON,34,Female,0,Yes,90071
0436-TWFFZ,21,Female,0,No,90805
0439-IFYUN,78,Female,0,No,92027
0440-EKDCF,47,Male,0,Yes,96113
0440-MOGPM,51,Female,0,No,94954
0440-QEXBZ,64,Female,0,No,93501
0440-UEDAI,59,Female,0,No,96014
0442-TDYUO,44,Male,0,Yes,94922
0442-ZXKVS,79,Female,0,Yes,95316
0447-BEMNG,28,Female,0,Yes,92397
0447-RXSGD,39,Male,0,No,93940
0454-OKRCT,32,Male,0,No,94301
0455-ENTCR,58,Male,0,Yes,95327
0455-XFASS,61,Female,2,Yes,95008
0458-HEUZG,58,Female,0,No,95511
0459-SPZHJ,19,Male,0,Yes,92843
0461-CVKMU,45,Female,0,Yes,96069
0463-TXOAK,26,Male,1,No,95653
0463-WZZKO,23,Male,0,No,91406
0463-ZSDNT,23,Male,0,No,92026
0464-WJTKO,39,Female,2,Yes,96104
0468-YRPXN,62,Male,0,No,90717
0471-ARVMX,70,Female,0,Yes,95451
0471-LVHGK,34,Male,0,Yes,95662
0475-RIJEP,47,Male,0,No,95364
0479-HMSWA,63,Female,1,No,92672
0480-BIXDE,58,Female,0,Yes,95903
0480-KYJVA,42,Female,3,Yes,95835
0481-SUMCB,74,Female,0,No,95947
0484-FFVBJ,43,Male,0,No,95437
0484-JPBRU,23,Male,0,No,94954
0485-ZBSLN,52,Male,2,Yes,92254
0486-HECZI,37,Male,1,Yes,90504
0486-LGCCH,48,Male,2,Yes,92394
0487-CRLZF,58,Female,0,No,92064
0487-RPVUM,49,Male,0,Yes,95041
0487-VVUVK,49,Male,2,Yes,93109
0488-GSLFR,41,Female,0,No,95983
0489-WMEMG,61,Female,3,No,95550
0491-KAPQG,28,Male,0,No,91962
0495-RVCBF,39,Female,0,No,95401
0495-ZBNGW,78,Male,0,Yes,94021
0496-AHOOK,61,Male,0,Yes,95914
0504-HHAPI,72,Female,0,No,95637
0505-SPOOW,41,Female,0,Yes,92508
0506-LVNGN,78,Female,0,No,95742
0506-YLVKJ,54,Male,1,Yes,93666
0508-OOLTO,33,Female,1,Yes,92310
0508-SQWPL,32,Female,3,Yes,91941
0511-JTEOY,41,Female,0,No,95923
0512-FLFDW,74,Female,0,Yes,92060
0513-RBGPE,57,Male,0,Yes,92091
0515-YPMCW,42,Male,0,No,95116
0516-OOHAR,39,Male,2,Yes,90290
0516-QREYC,78,Female,0,No,95607
0516-UXRMT,27,Female,0,No,93033
0516-VRYBW,39,Female,0,No,90680
0516-WJVXC,21,Female,0,No,95818
0519-DRGTI,58,Female,3,Yes,95219
0519-XUZJU,56,Female,0,No,95018
0520-FDVVT,26,Male,0,No,96052
0523-VNGTF,78,Female,0,No,91352
0524-IAVZO,25,Female,0,Yes,92539
0526-SXDJP,36,Male,0,Yes,90201
0529-ONKER,70,Male,0,No,95942
0530-IJVDB,36,Male,2,No,91935
0531-XBKMM,37,Male,2,No,91702
0531-ZZJWQ,68,Male,0,Yes,92028
0533-BNWKF,66,Female,0,Yes,92122
0533-UCAAU,72,Male,0,Yes,96065
0536-ACXIP,34,Female,0,Yes,95242
0536-BGFMZ,27,Female,0,Yes,95585
0536-ESJEP,48,Male,0,Yes,95975
0537-QYZZN,66,Male,2,Yes,94952
0541-FITGH,59,Female,0,Yes,95325
0547-HURJB,19,Male,2,No,95620
0549-CYCQN,69,Male,0,No,96029
0550-DCXLH,64,Male,0,No,92274
0556-FJEGU,26,Male,0,No,94549
0557-ASKVU,43,Female,0,Yes,90210
0559-CKHUS,44,Female,0,Yes,94588
0562-FGDCR,61,Female,3,Yes,96096
0562-HKHML,39,Male,1,Yes,94502
0562-KBDVM,62,Female,0,No,95638
0564-JJHGS,45,Male,0,No,95446
0564-MUUQK,28,Female,2,Yes,91932
0565-IYCGT,51,Male,0,No,92117
0565-JUPYD,26,Male,0,No,94510
0567-GGCAC,38,Female,0,No,93606
0567-XRHCU,19,Female,1,Yes,90049
0568-ONFPC,34,Male,1,Yes,94112
0570-BFQHT,38,Female,0,No,96007
0572-ZJKLT,32,Female,1,Yes,96020
0575-CUQOV,76,Male,0,Yes,95324
0576-WNXXC,70,Male,0,Yes,93648
0577-WHMEV,19,Female,0,Yes,95133
0578-SKVMF,23,Female,0,Yes,92273
0580-PIQHM,21,Female,1,Yes,92503
0581-BXBUB,76,Female,0,No,95946
0581-MDMPW,63,Female,0,No,95148
0582-AVCLN,43,Female,0,No,93304
0584-BJQGZ,19,Female,0,No,95983
0585-EGDDA,41,Male,0,Yes,96027
0587-DMGBH,48,Female,0,No,95988
0594-UFTUL,35,Male,3,Yes,95655
0595-ITUDF,21,Male,1,Yes,94930
0596-BQCEQ,32,Female,0,Yes,95547
0599-XNYDO,51,Female,0,Yes,95444
0601-WZHJF,53,Male,0,Yes,93263
0602-DDUML,21,Female,0,No,92028
0603-OLQDC,41,Male,1,No,90601
0603-TPMIB,40,Female,2,Yes,93452
0604-THJFP,40,Female,0,Yes,94552
0607-DAAHE,62,Male,0,No,95961
0607-MVMGC,33,Male,0,Yes,92066
0608-JDVEC,55,Male,0,Yes,93621
0611-DFXKO,35,Male,0,Yes,95427
0612-RTZZA,77,Female,0,No,92084
0613-WUXUM,38,Female,3,Yes,95073
0616-ATFGB,74,Male,0,Yes,96019
0617-AQNWT,61,Female,0,Yes,91343
0617-FHSGK,62,Male,0,No,95670
0618-XWMSS,60,Male,0,No,93280
0619-OLYUR,32,Male,0,Yes,92840
0620-DLSLK,47,Female,0,No,91103
0620-XEFWH,41,Male,1,Yes,96069
0621-CXBKL,62,Female,0,No,95228
0621-HJWXJ,54,Female,0,Yes,92618
0621-JFHOL,41,Female,0,No,91602
0621-TSSMU,29,Male,0,Yes,90270
0621-TWIEM,28,Male,0,No,91321
0623-EJQEG,50,Male,0,No,95247
0623-GDISB,63,Female,0,No,92673
0623-IIHUG,77,Female,0,No,92122
0625-AFOHS,40,Female,1,Yes,95536
0626-QXNGV,55,Female,0,Yes,95521
0628-CNQRM,49,Male,0,Yes,92592
0634-SZPQA,64,Female,0,No,94960
0635-WKOLD,33,Male,0,Yes,95307
0637-KVDLV,30,Male,0,No,95758
0637-UBJRP,40,Male,0,Yes,95693
0637-YLETY,39,Female,0,No,96024
0639-TSIQW,28,Female,0,No,92282
0640-YJTPY,19,Male,1,Yes,95977
0641-EVBOJ,61,Male,0,No,93614
0643-OKLRP,73,Female,0,Yes,91702
0644-OQMDK,69,Male,0,No,95348
0650-BWOZN,71,Female,0,No,92536
0654-HMSHN,45,Male,0,Yes,93501
0654-PQKDW,58,Female,2,Yes,94060
0655-RBDUG,32,Male,0,No,95002
0655-YDGFJ,34,Male,0,No,92264
0657-DOGUM,35,Female,0,Yes,91739
0661-KBKPA,43,Male,3,Yes,93955
0661-KQHNK,38,Female,3,Yes,96084
0661-WCQNQ,56,Male,0,Yes,95556
0661-XEYAN,76,Female,0,No,95959
0665-XHDJU,21,Male,0,Yes,95462
0666-UXTJO,80,Male,0,Yes,92256
0667-NSRGI,45,Female,0,Yes,95240
0668-OGMHD,20,Female,0,Yes,95405
0670-ANMUU,47,Male,0,No,91709
0670-KDOMA,42,Female,0,No,93610
0673-IGUQO,26,Male,0,No,92371
0674-DGMAQ,78,Male,0,Yes,95432
0674-EYYZV,41,Female,0,No,90065
0674-GCDXG,20,Male,0,No,93308
0675-NCDYU,61,Female,2,Yes,92870
0678-RLHVP,33,Female,0,No,94065
0679-IDSTG,73,Female,0,Yes,95417
0679-TDGAK,29,Male,1,Yes,93727
0680-DFNNY,62,Male,0,Yes,95694
0682-USIXD,40,Female,0,Yes,91765
0684-AOSIH,42,Male,0,Yes,92368
0685-MLYYM,74,Female,0,No,90620
0687-ZVTHB,24,Male,0,Yes,94805
0689-DSXGL,61,Female,1,Yes,96097
0689-NKYLF,42,Male,0,No,90066
0690-SRQID,20,Male,0,No,95203
0691-IFBQW,65,Female,0,No,93606
0691-JVSYA,24,Female,0,Yes,91103
0691-NIKRI,41,Female,0,No,95626
0696-UKTOX,64,Male,1,No,91343
0697-ZMSWS,19,Male,0,No,90023
0699-NDKJM,45,Female,0,Yes,91361
0701-RFGFI,56,Female,6,Yes,91941
0701-TJSEF,45,Male,0,No,93105
0702-PGIBZ,28,Male,0,No,95714
0704-VCUMB,64,Female,0,Yes,92103
0707-HOVVN,79,Female,0,No,95346
0708-LGSMF,56,Male,0,Yes,95035
0708-SJDIS,32,Female,0,No,90069
0709-TVGUR,70,Female,0,No,95207
0716-BQNDX,77,Male,0,No,93637
0719-SYFRB,52,Female,0,No,92860
0722-SVSFK,45,Female,0,No,94019
0722-TROQR,68,Female,0,No,95616
0723-DRCLG,73,Female,0,Yes,92028
0723-FDLAY,54,Male,0,No,95717
0723-VSOBE,67,Female,0,No,95429
0725-CXOTM,29,Female,0,No,95337
0727-BMPLR,66,Female,0,No,93706
0727-BNRLG,41,Male,0,No,90064
0727-IWKVK,35,Male,0,Yes,92398
0730-BGQGF,48,Male,3,Yes,93433
0730-KOAVE,53,Male,0,No,94062
0731-EBJQB,24,Female,0,Yes,90240
0732-OCQOC,30,Female,0,Yes,92328
0733-VUNUW,43,Male,0,No,94114
0734-OXWBT,44,Male,1,No,91722
0739-UUAJR,61,Female,1,Yes,94040
0742-LAFQK,52,Male,0,Yes,92833
0742-MOABM,50,Male,0,Yes,92028
0742-NXBGR,64,Female,0,No,96006
0743-HNPFG,50,Female,0,Yes,95920
0743-HRVFF,42,Female,3,Yes,93309
0744-BIKKF,39,Male,0,No,92254
0744-GKNGE,31,Female,2,Yes,90305
0746-JTRFU,22,Male,0,No,93631
0748-RDGGM,38,Male,0,Yes,91356
0749-IRGQE,68,Female,0,Yes,90621
0750-EBAIU,43,Male,0,No,92590
0750-EKNGL,44,Male,0,No,96046
0754-EEBDC,25,Male,1,Yes,91723
0754-UKWQP,63,Male,0,No,95614
0756-MPZRL,35,Male,0,No,92061
0757-WCUUZ,29,Male,3,Yes,93529
0761-AETCS,58,Female,0,No,92324
0769-MURVM,44,Female,2,Yes,93924
0771-CHWSK,56,Male,0,No,92227
0771-WLCLA,49,Female,1,Yes,92315
0772-GYEQQ,33,Male,0,No,95240
0774-IFUVM,19,Male,2,Yes,95202
0774-RMNUW,44,Female,1,Yes,92059
0778-NELLA,43,Male,0,No,92805
0780-XNZFN,60,Male,0,No,94618
0781-LKXBR,65,Male,0,No,94102
0784-GTUUK,26,Male,0,Yes,95360
0784-ZQJZX,22,Male,1,No,93962
0786-IVLAW,72,Female,0,No,91607
0786-VSSUD,68,Male,0,No,92123
0787-LHDYT,36,Male,0,No,93924
0788-DXBFY,54,Male,0,Yes,92780
0793-TWELN,27,Female,0,No,90026
0794-YVSGE,29,Male,1,Yes,91101
0795-GMVQO,36,Male,0,Yes,92105
0795-LAFGP,25,Male,0,Yes,92835
0795-XCCTE,80,Male,0,No,93514
0799-DDIHE,24,Female,3,Yes,96038
0804-XBFBV,49,Female,1,No,92610
0804-YGEQV,59,Female,1,Yes,92211
0807-ZABDG,43,Female,2,No,95776
0810-BDHAW,54,Female,0,Yes,93610
0810-DHDBD,31,Female,0,No,94928
0811-GSDTP,50,Female,2,No,94502
0812-WUPTB,65,Male,0,Yes,92625
0813-TAXXS,48,Male,0,No,95511
0815-MFZGM,54,Female,0,Yes,95037
0816-TSPHQ,35,Male,0,No,93239
0817-HSUSE,26,Male,0,No,91001
0818-OCPZO,80,Male,0,No,90059
0820-FNRNX,48,Male,3,Yes,94549
0822-GAVAP,19,Female,0,No,93260
0822-QGCXA,76,Female,0,Yes,90068
0823-HSCDJ,76,Male,0,No,92592
0824-VWDPO,58,Female,0,No,95519
0825-CPPQH,26,Female,0,Yes,95454
0827-ITJPH,33,Male,0,No,90047
0829-DDVLK,58,Female,0,No,92866
0829-XXPLX,48,Female,0,No,93615
0831-JNISG,52,Male,2,Yes,95148
0835-DUUIQ,55,Female,0,No,94501
0835-JKADZ,29,Female,0,No,94107
0836-SEYLU,64,Male,0,Yes,92128
0839-JTCUD,31,Female,0,Yes,92691
0839-QNXME,35,Female,0,No,90743
0840-DCNZE,33,Male,0,No,92661
0840-DFEZH,63,Female,0,No,90036
0841-NULXI,38,Male,0,No,95209
0842-IWYCP,19,Female,0,No,92342
0843-WTBXE,38,Male,0,No,92126
0847-HGRML,44,Male,2,No,92258
0848-SOMKO,23,Male,0,No,95682
0848-ZGQIJ,56,Female,0,Yes,95070
0851-DFJKB,57,Female,0,No,94518
0853-NWIFK,27,Female,0,No,94973
0853-TWRVK,59,Male,0,Yes,91606
0854-UYHZD,21,Female,3,Yes,91792
0856-NAOES,29,Male,0,No,94519
0859-YGKFW,56,Male,3,Yes,95961
0862-PRCBS,32,Female,3,Yes,94132
0864-FVJNJ,63,Female,1,Yes,95570
0866-QLSIR,53,Female,0,No,92843
0867-LDTTC,51,Male,0,No,95830
0867-MKZVY,26,Female,1,Yes,91001
0868-VJRDR,61,Male,0,Yes,96016
0869-PAPRP,68,Female,0,Yes,93256
0870-VEMYL,34,Female,0,No,95310
0871-OPBXW,57,Female,0,No,92027
0871-URUWO,36,Male,0,Yes,95250
0872-CASZJ,30,Male,0,Yes,95951
0872-JCPIB,47,Male,0,No,95364
0872-NXJYS,40,Female,0,No,90069
0875-CABNR,70,Female,0,No,93401
0876-WDUUZ,62,Female,0,No,95665
0877-SDMBN,20,Female,0,No,92126
0880-FVFWF,32,Male,0,No,94550
0880-TKATG,21,Male,0,Yes,92356
0883-EIBTI,23,Female,0,No,95612
0885-HMGPY,55,Male,0,No,95545
0886-QGENL,72,Female,0,Yes,92104
0887-HJGAR,57,Male,0,No,93210
0887-WBJVH,29,Female,0,Yes,95312
0895-DQHEW,47,Male,0,Yes,96013
0895-LMRSF,34,Male,0,No,91932
0895-LNKRC,53,Male,3,Yes,91732
0895-UADGO,46,Male,0,No,95675
0897-FEGMU,43,Female,0,Yes,90048
0898-XCGTF,46,Male,0,Yes,90039
0899-LIIBW,21,Male,0,Yes,96031
0899-WZRSD,31,Male,0,No,90292
0902-RFHOF,38,Male,0,No,95650
0902-XKXPN,29,Male,1,Yes,96001
0906-QVPMS,29,Male,0,Yes,93940
0907-HQNTS,74,Female,0,Yes,94565
0909-SDHNU,33,Female,2,No,90036
0909-SELIE,53,Male,0,Yes,95423
0913-XWSCN,29,Male,2,Yes,92585
0916-KNFAJ,37,Male,0,Yes,95133
0916-QOFDP,79,Female,1,Yes,93554
0917-EZOLA,66,Male,0,Yes,90713
0921-OHLVP,35,Male,0,No,95969
0923-PNFUB,55,Female,0,No,91361
0924-BJCRC,70,Female,0,Yes,95018
0925-VYDLG,40,Female,0,No,92338
0927-CNGRH,42,Male,3,No,95701
0927-LCSMG,23,Male,0,No,95129
0928-JMXNP,78,Male,0,Yes,96055
